timestamp,funding_rate
2026-05-06T09:34:24.554322,-0.0004
2026-05-06 10:00:00,-0.000272
2026-05-06 12:00:00,-0.002630
2026-05-06 14:00:00,-0.005021
2026-05-06 15:00:00,-0.006652
2026-05-06 16:00:00,-0.007143
2026-05-06 17:00:00,-0.007256
2026-05-06 18:00:00,-0.007002
2026-05-06 19:00:00,-0.006547
2026-05-06 20:00:00,-0.006924
2026-05-06 21:00:00,-0.005856
2026-05-06 22:00:00,-0.006910
2026-05-06 23:00:00,-0.008665
2026-05-07 08:00:00,-0.003115
2026-05-07 09:00:00,-0.003215
2026-05-07 10:00:00,-0.002550
2026-05-07 12:00:00,-0.003955
2026-05-07 13:00:00,-0.002982
2026-05-07 14:00:00,-0.001891
2026-05-07 15:00:00,-0.000697
2026-05-07 16:00:00,-0.001575
2026-05-07 17:00:00,-0.003720
2026-05-07 18:00:00,-0.005675
2026-05-07 19:00:00,-0.007116
2026-05-07 20:00:00,-0.007178
2026-05-07 21:00:00,-0.007406
2026-05-07 22:00:00,-0.008714
2026-05-07 23:00:00,-0.007375
2026-05-08 00:00:00,-0.004609
2026-05-08 09:00:00,-0.003201
2026-05-08 10:00:00,-0.004271
2026-05-08 11:00:00,-0.004394
2026-05-08 12:00:00,-0.003213
2026-05-08 13:00:00,-0.001541
2026-05-08 14:00:00,-0.000580
2026-05-08 15:00:00,0.001862
2026-05-08 16:00:00,0.003169
2026-05-08 17:00:00,0.003755
2026-05-08 18:00:00,0.003922
2026-05-08 19:00:00,0.003443
2026-05-08 20:00:00,0.002561
2026-05-09 12:00:00,0.003208
2026-05-09 13:00:00,0.003657
2026-05-09 14:00:00,0.002463
2026-05-09 15:00:00,0.000746
2026-05-09 16:00:00,-0.000738
2026-05-09 17:00:00,-0.001140
2026-05-09 18:00:00,-0.001702
2026-05-09 19:00:00,-0.001532
2026-05-09 20:00:00,-0.000829
2026-05-09 21:00:00,0.000090
2026-05-09 22:00:00,0.000901
2026-05-09 23:00:00,0.003422
2026-05-10 00:00:00,0.005278
2026-05-10 11:00:00,0.004349
2026-05-10 12:00:00,0.004113
2026-05-10 13:00:00,0.005664
2026-05-10 14:00:00,0.006628
2026-05-10 15:00:00,0.006545
2026-05-10 16:00:00,0.006212
2026-05-10 17:00:00,0.006922
2026-05-10 18:00:00,0.005948
2026-05-10 19:00:00,0.005074
2026-05-10 20:00:00,0.005566
2026-05-10 21:00:00,0.005850
2026-05-10 22:00:00,0.004415
2026-05-10 23:00:00,0.004257
2026-05-11 08:00:00,0.002515
2026-05-11 09:00:00,0.002705
2026-05-11 10:00:00,0.002431
2026-05-11 11:00:00,0.002080
2026-05-11 12:00:00,0.003348
2026-05-11 13:00:00,0.004555
2026-05-11 14:00:00,0.003679
2026-05-11 15:00:00,0.003758
2026-05-11 16:00:00,0.002247
2026-05-11 17:00:00,0.001090
2026-05-11 18:00:00,-0.000047
2026-05-11 19:00:00,-0.000494
2026-05-11 20:00:00,-0.000108
2026-05-11 21:00:00,-0.000115
2026-05-11 22:00:00,0.000607
2026-05-11 23:00:00,0.000124
2026-05-12 08:00:00,0.001734
2026-05-12 09:00:00,0.002156
2026-05-12 10:00:00,0.002736
2026-05-12 11:00:00,0.004088
2026-05-12 12:00:00,0.004775
2026-05-12 13:00:00,0.005822
2026-05-12 14:00:00,0.006503
2026-05-12 15:00:00,0.007747
2026-05-12 16:00:00,0.009408
2026-05-12 17:00:00,0.008514
2026-05-12 18:00:00,0.007551
2026-05-12 19:00:00,0.007147
2026-05-12 20:00:00,0.006416
2026-05-13 06:00:00,0.004940
2026-05-13 07:00:00,0.004720
2026-05-13 08:00:00,0.003518
2026-05-13 09:00:00,0.002458
2026-05-13 10:00:00,0.001661
2026-05-13 11:00:00,0.001124
2026-05-13 12:00:00,0.001425
2026-05-13 13:00:00,0.001749
2026-05-13 14:00:00,0.001549
2026-05-13 15:00:00,0.000736
2026-05-13 16:00:00,-0.000028
2026-05-13 17:00:00,-0.000617
2026-05-13 18:00:00,-0.000421
2026-05-13 19:00:00,0.000589
